순번	코드	물질명	물질요약	영문명	상용명	CAS번호	공단코드	주기	노출기준(TWA)	노출기준(STEL)	분석분류	단축코드	회수율	PAS회수율	FACTOR값	측정방법	측정단위	분류	측정	혼합	특검	사용	특별관리	허가대상	허용기준	안전검사	발암성	생식세포	생식독성	LOD	LOQ	단위	분자량	함유량	비중	계산상수	적용값1	적용값3	기울기	Y절편	채취Media	운반방법	시료보관방법	적정유량	적정총유량	유량평균자릿수	분석파일명	분석장비 물질명	분석정열	분석방법	지침번호1	지침번호2	위험문구	유해.위험문구
34	N0009	아닐린 및 그 동족체		aniline & homoloques	아닐린(아미노벤젠)과 그 동족체	62-53-3	21105	12	2 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○			○	○	2	2													실리카겔		냉장	0.05							A-91-2019		"H351,H341,H331,H311,H301,H372**,H318,H317,H400"	"H227,H302,H311,H317,H319,H330,H341,H351,H372,H400,H411"
35	N0010	톨루엔 		toluene	톨루엔	108-88-3	21191	12	50 ppm	150 ppm	GC(유기용제)	29	1.0052	1		15	ppm	유기화합물	○	○	○	○			○	○			2	0.0408	0.1346	㎎/Sample	92.14								활성탄		냉장	0.02							A-72-2019		"H225,H361d***,H304,H336,H373**,H315"	"H225,H304,H315,H336,H361,H373,H401"
36	N0011	디니트로톨루엔 		dinitrotoluene	디니트로톨루엔	25321-14-6	21013	12	0.2 ㎎/㎥		의뢰물질					15	㎎/㎥	유기화합물	○	 	○	○	○				1B	2	2												Tenax-GC		냉장	1							A-81-2018		"H350,H341,H361f***,H331,H311,H301,H373**,H400,H410"	"H302,H330,H335,H350,H361,H401,H410"
37	N0012	디메틸아닐린		dimethylaniline	디메틸아닐린(아미노디메틸벤젠)	121-69-7	21015	12	5 ppm	10 ppm	GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2														실리카겔		냉장	0.05							A-100-2018		"H351,H331,H311,H301,H411"	"H227,H302,H312,H319,H331,H335,H351,H373,H402"
38	N0013	p-디메틸아미노아조벤젠		p-dimethylaminoazobenzene	p-디메틸아미노아조벤젠	60-11-7	21229	12										유기화합물	 	 	○	○																																
39	N0014	"N,N-디메틸아세트아미드"		"N,N-dimethylacetamide"	"N,N-디메틸아세트아미드"	127-19-5	21019	6	10 ppm		GC(유기용제)		1.0027			15	ppm	유기화합물	○	○	○	○	○						1B	0.0114	0.0376	㎎/Sample	87.12								실리카겔		냉장	0.1							A-115-2018		"H360D***,H332,H312"	"H227,H313,H319,H331"
40	N0015	디메틸포름아미드		dimethylformamide	"디메틸포름아미드(N,N-디메틸포름아미드)"	68-12-2	21021	6	10 ppm		GC(유기용제)	38	0.9881			15	ppm	유기화합물	○	○	○	○	○		○	○			1B	0.0020	0.0066	㎎/Sample	73.09								실리카겔		냉장	0.1							A-114-2019		"H360D***,H332,H312,H319"	"H226,H319,H331,H335,H350,H360,H373"
41	N0016	"4,4-디아미노3,3-디클로로디페닐메탄"		"4,4'-diamino-3,3'-dichlorodiphenylmethane"	"4,4-디아미노3,3-디클로로디페닐메탄"	101-14-4	21231	12	0.01 ppm									유기화합물	 	 	○	○					1A																											
42	N0017	디에틸렌트리아민		diethylenetriamine	디에틸렌트리아민	111-40-0	21025	12	1 ppm		의뢰물질					13	ppm	유기화합물	○	 	○	○								0.06310	0.20823	㎍									10% NITC coated XAD-2		냉장	0.1							A-143-2018		"R21/22,R34,R43"	"H302,H311,H314,H317,H318,H330,H334,H360"
43	N0018	디에틸에테르		diethylether	디에틸에테르	60-29-7	21029	12	400 ppm	500 ppm	GC(유기용제)	07	1.0080	0.96		15	ppm	유기화합물	○	○	○	○								0.0389	0.1284	㎎/Sample	74.12								활성탄		냉장	0.015							A-128-2018		"H224,H302,H336"	"H224,H302,H319,H336"
44	N0019	"1,4-디옥산"		"1,4-dioxane"	"1,4-디옥산"	123-91-1	21033	12	20 ppm		GC(유기용제)	55	1			15	ppm	유기화합물	○	○	○	○					2						88.1								활성탄		냉장	0.02							A-116-2018		"H225,H351,H335,H319"	"H225,H313,H315,H319,H335,H351"
45	N0020	디이소부틸케톤		diisobutylketone	디이소부틸케톤	108-83-8	21035	12	25 ppm		GC(유기용제)	59	1.0119	1		15	ppm	유기화합물	○	○	○	○								0.0292	0.0964	㎎/Sample	142.24								활성탄		냉장	0.02							A-105-2018		"H226,H335"	"H226,H335,H402"
46	N0021	디클로로메탄		dichloromethane	디클로로메탄	75-09-2	21037	12	50 ppm		GC(유기용제)	09	1.0210	0.87		15	ppm	유기화합물	○	○	○	○			○	○	2			0.0106	0.0350	㎎/Sample	84.93								활성탄		냉장	0.01							A-19-2019		H351	"H315,H319,H336,H351,H373,H401"
47	N0022	o-디클로로벤젠		o-dichlorobenzene	o-디클로로벤젠	95-50-1	21039	12	25 ppm	50 ppm	GC(유기용제)					15	ppm	유기화합물	○	○	○	○																			활성탄		냉장	0.02							A-29-2018		"H302,H335,H315,H319,H400,H410"	"H227,H315,H317,H335,H400,H411"
48	N0023	"1,2-디클로로에틸렌"		"1,2-dichloroethylene"	"1,2-디클로로에틸렌(이염화아세틸렌)"	540-59-0	21041	12	200 ppm		GC(유기용제)	19	1.0754	0.96		15	ppm	유기화합물	○	○	○	○								0.0283	0.0934	㎎/Sample	96.94								활성탄		냉장	0.02							A-26-2018		"H225,H332,H412"	"H225,H302,H319"
49	N0024	디클로로플루오로메탄		dichlorofluoromethane	디클로로플루오로메탄(디클로로모노플루오로메탄)	75-43-4	21043	12	10 ppm		GC(유기용제)					15	ppm	유기화합물	○	○	○	○																			활성탄		냉장	0.015							A-37-2018			"H280,H336,H420"
50	N0025	마젠타		magenta	마젠타	632-99-5	21235	12										유기화합물	 	 	○	○																																
51	N0026	무수말레산		maleic anhydride	말레익 언하이드라이드(무수 말레인산)	108-31-6	21073	12	0.4 ㎎/㎥		의뢰물질					110	㎎/㎥	유기화합물	○	 	○	○								0.10305	0.34007	㎍/Sample									"3,4-디메톡시벤질아민 coated 유리섬유"		냉동	0.5							A-88-2018		"H302,H314,H334,H317"	"H261,H290,H302,H313,H314,H317,H318,H332,H334,H373,H402"
52	N0027	2-메톡시에탄올		2-methoxyethanol	"2-메톡시에탄올(에틸렌 글리콜 모노 메틸 에테르, 메틸셀로솔브)"	109-86-4	21049	12	5 ppm		GC(유기용제)	17	1	0.78		15	ppm	유기화합물	○	○	○	○	○						1B				79.6								활성탄		냉장	0.015							A-118-2018		"H226,H360FD,H332,H312,H302"	"H226,H303,H313,H332,H360,H370,H373"
53	N0028	메틸렌비스(페닐이소시아네이트)		methylene bisphenyl diisocyanate	메틸렌페닐 디이소시아네이트	101-68-8	21233	12	0.005 ppm		의뢰물질	203				110	ppm	유기화합물	○	○	○	○		 	○	○	2			0.0499	0.1646	㎍/Sample									1-(2-pyridyl)piperazine coated 유리섬유 여과지		냉장	1							A-79-2019		"H351,H332,H335,H373**,H315,H319,H334,H317"	"H315,H319,H332,H334,H335,H351,H373"
54	N0029	메틸n-부틸케톤		methyl n-buthyl ketone	메틸 n-부틸 케톤(메틸부틸케톤)	591-78-6	21063	12	5 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○							2												활성탄		냉장	0.02							A-106-2018		"H226,H361f***,H336,H372**"	"H226,H303,H305,H313,H315,H319,H335,H361"
55	N0030	o-메틸시클로헥사논		ο-methyl cyclohexanone	ο-메틸 시클로헥사논	583-60-8	21067	12	50 ppm	75 ppm	GC(유기용제)					15	ppm	유기화합물	○	 	○	○																			Porapak Q		냉장	0.015							A-94-2018		"H226,H332"	"H226,H302,H312,H316,H319,H332,H335"
56	N0031	메틸시클로헥사놀		methyl cyclohexanol	메틸 시클로헥사놀	25639-42-3	21069	12	50 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○																			활성탄		냉장	0.02							A-95-2018			"H226,H302,H315,H319"
57	N0032	메틸n-아밀케톤		methyl n-amyl ketone	메틸 n-아밀 케톤(2-헵타논)	110-43-0	21065	12	50 ppm		GC(유기용제)		1.0164			15	ppm	유기화합물	○	 	○	○								0.0149	0.0492	㎎/Sample	114.2								Anasorb CMS		냉장	0.02							A-107-2018		"H226,H332,H302"	"H226,H302,H316,H319,H332,H402"
58	N0033	메탄올		Methanol	메틸 알코올	67-56-1	21055	12	200 ppm	250 ppm	GC(유기용제)	02	0.9866	0.71		15	ppm	유기화합물	○	○	○	○			○					0.0100	0.0330	㎎/Sample	32.04								Anasorb 747		냉장	0.05							A-117-2019		"H225,H331,H311,H301,H370**"	"H225,H319,H360,H370"
59	N0034	메틸에틸케톤		methyl ethyl ketone	메틸 에틸 케톤	78-93-3	21057	12	200 ppm	300 ppm	GC(유기용제)	11	1.0128	0.91		15	ppm	유기화합물	○	○	○	○								0.0459	0.1515	㎎/Sample	72.11								Anasorb CMS		냉장	0.02							A-104-2018		"H225,H336,H319"	"H225,H303,H305,H319,H335"
60	N0035	메틸이소부틸케톤		methyl isobutyl ketone	메틸 이소부틸 케톤	108-10-1	21059	12	50 ppm	75 ppm	GC(유기용제)	28	1.0091	0.99		15	ppm	유기화합물	○	○	○	○					2			0.0289	0.0954	㎎/Sample	100.16								활성탄		냉장	0.02							A-108-2018		"H225,H332,H335,H319"	"H225,H303,H319,H332,H335,H336,H351"
61	N0036	메틸클로라이드		methyl chloride	메틸 클로라이드(클로로메탄)	74-87-3	21061	12	50 ppm	100 ppm	GC(유기용제)		1.0125			15	ppm	유기화합물	○	 	○	○					2			0.0385	0.1271	㎎/Sample	50.49								활성탄		냉장	0.015							A-34-2018		"H220,,H351,H373**"	"H220,H280,H302,H332,H351,H373"
62	N0037	메틸클로로포름		methyl chloroform	"메틸 클로로포름(1,1,1-트리클로로에탄)"	71-55-6	21071	12	350 ppm	450 ppm	GC(유기용제)	20	0.953	1		15	ppm	유기화합물	○	○	○	○				○							133.41								활성탄		냉장	0.02							A-32-2018		"H332,H420"	"H315,H319,H332,H335,H336,H402,H420"
63	N0038	벤젠		benzene	벤젠	71-43-2	21077	6	0.5 ppm	2.5 ppm	GC(유기용제)	22	0.9899	0.97		15	ppm	유기화합물	○	○	○	○	○		○	○	1A	1B		0.0038	0.0125	㎎/Sample	78.11								활성탄		냉장	0.02							A-69-2019		"H225,H350,H340,H304,H372**,H315,H319"	"H225,H304,H315,H319,H340,H350,H372,H401,H411"
64	N0039	벤지딘과 그 염		benzidine and its salts	벤지딘과 그 염	92-87-5	21237	12								110	ppm	유기화합물	○	 	○	○					1A																											
65	N0040	"1,3-부타디엔"		"1,3-butadiene"	"1,3-부타디엔"	106-99-0	21079	12	2 ppm	10 ppm	GC(유기용제)					15	ppm	유기화합물	○	 	○	○	○		○		1A	1B													4-tert-butylcatechol coated 활성탄		냉동	0.05							A-90-2019		"H220,,H350,H340"	"H220,H280,H335,H340,H350,H373,H402"
66	N0041	2-부톡시에탄올		2-butoxyethanol(EGBE)	"2-부톡시에탄올(에틸렌 글리콜 모노부틸 에테르, 부틸셀로솔브)"	111-76-2	21135	12	20 ppm		GC(유기용제)	42	1.0501	0.84		15	ppm	유기화합물	○	○	○	○					2			0.0258	0.0851	㎎/Sample	118.2								활성탄		냉장	0.015							A-119-2018		"H332,H312,H302,H315,H319"	"H227,H302,H315,H319,H351"
67	N0042	2-부톡시에틸아세테이트		Ethyleneglycol monobutyl acetate	에틸렌 글리콜 모노부틸 아세테이트	112-07-2	21137	12	20 ppm		GC(유기용제)		0.9546			15	ppm	유기화합물	○	○	○	○					2			0.0239	0.0789	㎎/Sample	160.21								활성탄		냉장	0.015							A-36-2018		"H332,H312"	"H227,H302,H312,H351,H402"
68	N0043	n-부탄올		1-Buthanol	1-부틸알코올(1-부탄올)	71-36-3	21083	12	20 ppm		GC(유기용제)	21	0.9984	0.86		15	ppm	유기화합물	○	○	○	○								0.0210	0.0693	㎎/Sample	74.12								활성탄		냉장	0.015							A-135-2018		"H226,H302,H335,H336,H315,H318"	"H226,H305,H315,H319,H336"
69	N0044	2-부탄올		2-Buthanol	2-부틸알코올(2-부탄올)	78-92-2	21081	12	100 ppm	150 ppm	GC(유기용제)	12	1.0250	0.89		15	ppm	유기화합물	○	○	○	○								0.0176	0.0581		74.12								활성탄		냉장	0.015							A-136-2018		"R10,R36/37,R67"	"H226,H319,H335,H336,H360"
70	N0045	1-브로모프로판		1-bromopropane	1-브로모프로판	106-94-5	21085	12	25 ppm		GC(유기용제)	46	1.005	1		15	ppm	유기화합물	○	○	○	○	○				2		1B				123.01								활성탄		냉장	0.02							A-39-2018		"H225,H360FD,H335,H336,H373**,H315,H319"	"H227,H319,H335,H336,H351,H360,H373,H402,H412"
71	N0046	2-브로모프로판		2-bromopropane	2-브로모프로판	75-26-3	21087	12	1 ppm		GC(유기용제)					15	ppm	유기화합물	○	○	○	○	○		○	○			1A												활성탄		냉장	0.02							A-40-2019		"H225,H360F***,H373**"	"H225,H360,H373,H402"
72	N0047	브롬화메틸		methylbromide	브롬화메틸	74-83-9	21089	12	1 ppm		GC(유기용제)	53	1	1		15	ppm	유기화합물	○	 	○	○			○	○		2					94.95								Anasorb 747		냉장	0.05							A-20-2019		",H341,H331,H301,H335,H373,H315,H319,H400,H420"	"H280,H301,H311,H314,H319,H331,H335,H373,H400,H410,H420"
73	N0048	사염화탄소		carbon tetrachloride	사염화탄소	56-23-5	21093	6	5 ppm		GC(유기용제)	23	1.0468			15	ppm	유기화합물	○	○	○	○	○				1B			0.0056	0.0185	㎎/Sample	153.8								활성탄		냉장	0.02							A-27-2018		"H351,H331,H311,H301,H372**,H412,H420"	"H303,H316,H317,H319,H336,H350,H361,H372,H401,H420"
74	N0050	스티렌		styrene	스티렌	100-42-5	21095	12	20 ppm	40 ppm	GC(유기용제)	37	1.0091	0.88		15	ppm	유기화합물	○	○	○	○			○	○	2		2	0.0349	0.1152	㎎/Sample	104.14								활성탄		냉장	0.02							A-70-2019		"H226,H361d,H332,H372(hearingorgans),H315,H319"	"H226,H304,H315,H319,H331,H335,H341,H351,H361,H372,H401"
75	N0051	시클로헥사논		cyclohexanone	시클로헥사논	108-94-1	21097	12	25 ppm	50 ppm	GC(유기용제)	36	1.0091	0.85		15	ppm	유기화합물	○	○	○	○			○	○	2			0.0374	0.1234	㎎/Sample	98.14								활성탄		냉장	0.02							A-109-2019		"H226,H332"	"H226,H302,H312,H315,H317,H318,H332,H335,H351"
76	N0052	시클로헥사놀		cyclohexanol	시클로헥사놀	108-93-0	21099	12	50 ppm		GC(유기용제)	35	0.785	0.89		15	ppm	유기화합물	○	○	○	○											102.2								활성탄		냉장	0.025							A-139-2018		"H332,H302,H335,H315"	"H302,H315,H319,H332,H335,H402"
77	N0053	시클로헥산		cyclohexane	시클로헥산	110-82-7	21101	12	200 ppm		GC(유기용제)	24	1.0134	1.02		15	ppm	유기화합물	○	○	○	○								0.0297	0.0980	㎎/Sample	84.16								활성탄		냉장	0.02							A-65-2018		"H225,H304,H336,H315,H400,H410"	"H225,H304,H319,H336,H400,H412"
78	N0054	시클로헥센		cyclohexene	시클로헥센	110-83-8	21103	12	300 ppm		GC(유기용제)	40	0.93	0.99		15	ppm	유기화합물	○	○	○	○											82.14								활성탄		냉장	0.02							A-66-2018			"H225,H302,H304,H314,H335,H401,H411"
79	N0056	아세토니트릴		acetonitrile	아세토니트릴	75-05-8	21107	12	20 ppm		GC(유기용제)		1.0630			15	ppm	유기화합물	○	 	○	○				○				0.0210	0.0693	㎎/Sample	41.06								활성탄		냉장	0.05							A-113-2018		"H225,H332,H312,H302,H319"	"H225,H302,H319,H335,H402"
80	N0057	아세톤		acetone	아세톤	67-64-1	21109	12	500 ppm	750 ppm	GC(유기용제)	04	0.9837	0.85		15	ppm	유기화합물	○	○	○	○								0.0207	0.0683	㎎/Sample	58.08								활성탄		냉장	0.02							A-110-2018		"H225,H336,H319"	"H225,H305,H319,H336"
81	N0058	2-에톡시에틸아세테이트		2-ethoxyethyl acetate	아세트산 2-에톡시에틸(에틸렌 글리콜 모노에틸 에테르 아세테이트)	111-15-9	21133	12	5 ppm		GC(유기용제)	48	1.0397	0.73		15	ppm	유기화합물	○	○	○	○	○						1B	0.0078	0.0257	㎎/Sample	132.16								활성탄		냉장	0.015							A-122-2018		"H226,H360FD,H332,H312,H302"	"H226,H303,H319,H336,H360,H402"
82	N0059	아세트알데히드		acetaldehyde	아세트알데히드	75-07-0	21111	12	50 ppm	150 ppm	의뢰물질					13	ppm	유기화합물	○	 	○	○					1B														"2,4-DNPH coated 실리카겔"		냉장	0.05							A-58-2018	A-59-2018	"H224,H351,H335,H319"	"H224,H302,H313,H319,H335,H351,H402"
83	N0060	아크릴로니트릴		acrylonitrile	아크릴로니트릴	107-13-1	21113	6	2 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○	○		○	○	1B														활성탄		냉장	0.02							A-96-2019		"H225,H350,H331,H311,H301,H335,H315,H318,H317,H411"	"H225,H301,H310,H315,H317,H318,H330,H335,H350,H401,H411"
84	N0061	아크릴아미드		acrylamide	아크릴아미드	79-06-1	21115	12	0.03 ㎎/㎥		의뢰물질					13	㎎/㎥	유기화합물	○	 	○	○	○			○	1B	1B	2	0.0001	0.0002	㎍/Sample									XAD-7 OVS(유리섬유 여과지)		냉동	1							A-97-2018		"H350,H340,H361f***,H301,H332,H312,H372**,H315,H319,H317"	"H302,H312,H315,H317,H319,H336,H340,H350,H361,H372,H402"
85	N0062	2-에톡시에탄올		2-ethoxyethanol	"2-에톡시에탄올(에틸렌 글리콜 모노에틸 에테르, 셀로솔브)"	110-80-5	21131	12	5 ppm		GC(유기용제)	25	0.92	0.78		15	ppm	유기화합물	○	○	○	○	○						1B			㎎/Sample	90.12								활성탄		냉장	0.015							A-120-2018		"R60,R61,R10,R20/21/22"	"H226,H332,H360,H370,H372"
86	N0063	에틸렌글리콜		ethylene glycol	"에틸렌 글리콜(1,2-디히드록시에탄)"	107-21-1	21139	12		C100 ㎎/㎥	GC(유기용제)	52	0.9868			15	㎎/㎥	유기화합물	○	 	○	○								0.0453	0.1495	㎎/Sample	62.07								XAD-7 OVS(유리섬유 여과지)		냉장	1							A-145-2018		H302	"H313,H373"
87	N0064	에틸렌글리콜디니트레이트		ethylene glycol dinitrate	에틸렌 글리콜 디니트레이트(니트로글리콜)	628-96-6	21127	12	0.05 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○																			Tenax-GC		냉장	0.2							A-68-2018		"H200,H310,H330,H300,H373**"	"H201,H302,H373"
88	N0065	에틸렌이민		ethylene imine	에틸렌 이민	151-56-4	21143	12	0.5 ppm		UV(기타)					130	ppm	유기화합물	○	 	○	○	○				1B	1B													버블러(폴린시약)		냉장	0.2							A-170-2018		"H225,H350,H340,H310,H330,H300,H314,H411"	"H225,H300,H310,H314,H318,H330,H340,H350,H401"
89	N0066	에틸렌클로로히드린		ethylene chlorohydrin	에틸렌 클로로하이드린(2-클로로에탄올)	107-07-3	21141	12		C1 ppm	GC(유기용제)					15	ppm	유기화합물	○	 	○	○																			활성탄		냉장	0.2							A-38-2018		"H310,H330,H300"	"H226,H301,H310,H318,H330,H336,H401"
90	N0067	에틸벤젠		ethyl benzene	에틸벤젠	100-41-4	21121	12	100 ppm	125 ppm	GC(유기용제)	32	1.0099	0.946		15	ppm	유기화합물	○	○	○	○					2			0.0327	0.1079	㎎/Sample	106.17								활성탄		냉장	0.02							A-71-2018		"H225,H332,H304,H373(hearingorgans)"	"H225,H304,H315,H319,H332,H335,H351,H373,H401"
91	N0068	에틸아크릴레이트		ethylacrylate	에틸아크릴레이트(에틸아크릴엑시드)	140-88-5	21125	12	5 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○					2														TBC coated 활성탄		냉장	0.02							A-121-2018		"H225,H332,H312,H302,H335,H315,H319,H317"	"H302,H313,H315,H317,H319,H331,H335,H401,H412"
92	N0069	"2,3-에폭시-1-프로판올"		"2,3-epoxy-1-1propanol"	"2,3-에폭시-1-프로판올(글리시돌)"	556-52-5	21145	12	2 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	○	○	○				1B	2	1B												활성탄		냉장	0.1							A-149-2018		"H350,H341,H360F***,H331,H312,H302,H335,H315,H319"	"H227,H302,H312,H315,H319,H331,H335,H341,H350,H360,H373"
93	N0070	에피클로로히드린		epichlorohydrin	에피클로로히드린	106-89-8	21149	12	0.5 ppm		GC(유기용제)	44	1			15	ppm	유기화합물	○	○	○	○	○				1B						92.53								활성탄		냉장	0.02							A-85-2018		"H226,H350,H331,H311,H301,H314,H317"	"H226,H301,H311,H314,H317,H318,H331,H335,H341,H350,H361,H401"
94	N0071	염소화비페닐		polychlorobiphenyl	다염소화비페닐	1336-36-3	21241	12	1 ㎎/㎥									유기화합물	 	 	○	○																													A-21-2018			
95	N0072	오라민		auramine	오라민	492-80-8	21243	12										유기화합물	 	 	○	○																																
