일련번호,CAS No,유해물질의 명칭_국문,유해물질의 명칭_영문,화학식,노출기준_TWA_ppm,노출기준_TWA_㎎/㎥,노출기준_STEL_ppm,노출기준_STEL_㎎/㎥,비 고(CAS번호 등),Cas No. 추출값
27,100-61-8,N-메틸 아닐린,N-Methyl aniline,C6H5NHCH3,0.5,-,-,-,[100-61-8] Skin,100-61-8
28,110-62-3,노말-발레알데히드,n-Valeraldehyde,CH3(CH2)3CHO,50,-,-,-,[110-62-3] ,110-62-3
29,2426-08-6,노말-부틸 글리시딜에테르,n-Butyl glycidyl ether(BGE),C4H9OCH2CHOCH2,3,-,-,-,"[2426-08-6] 발암성 2, 생식세포 변이원성 2, Skin",2426-08-6
30,138-22-7,노말-부틸 락테이트,n-Butyl lactate,CH3CH(OH)COO(CH2)3CH3,5,-,-,-,[138-22-7] ,138-22-7
31,141-32-2,노말-부틸아크릴레이트,n-Butyl acrylate,C7H12O2,2,-,10,-,[141-32-2] ,141-32-2
32,71-36-3,노말-부틸알코올,n-Butyl alcohol(1-Butanol),CH3CH2CH2CH2OH,20,-,-,-,[71-36-3] ,71-36-3
33,88-12-0,N-비닐-2-피롤리돈,N-Vinyl-2-pyrrolidone(NVP),C6H9NO,0.05,-,-,-,[88-12-0] 발암성 2,88-12-0
34,100-74-3,N-에틸모르폴린,N-Ethylmorpholine,C6H13ON,5,-,-,-,[100-74-3] Skin,100-74-3
35,768-52-5,N-이소프로필아닐린,N-Isopropyl aniline,C6H5NHCH(CH3)2,2,-,-,-,[768-52-5] Skin,768-52-5
36,123-86-4,노말-초산 부틸,n-Butyl acetate,CH3COO(CH2)3CH3,150,-,200,-,[123-86-4] ,123-86-4
37,628-63-7,노말-초산 아밀,n-Amyl acetate,CH3COOC5H11,50,-,100,-,[628-63-7] ,628-63-7
38,135-88-6,N-페닐-베타-나프틸 아민,N-Phenyl-β-naphthyl amine,C10H7NHC6H5,-,-,-,-,[135-88-6] 발암성 2,135-88-6
39,627-13-4,노말-프로필 니트레이트,n-Propyl nitrate,C3H8NO3,25,-,40,-,[627-13-4] ,627-13-4
40,109-60-4,노말-프로필 아세테이트,n-Propyl acetate,CH3COOCH2CH2CH3,200,,250,,[109-60-4] 초산 프로필 참조,109-60-4
41,71-23-8,노말-프로필 알코올,n-Propyl alcohol,CH3CH2CH2OH,200,-,250,-,[71-23-8] Skin,71-23-8
42,110-54-3,노말-헥산,n-Hexane,CH3(CH2)4CH3,50,-,-,-,"[110-54-3] 생식독성 2, Skin",110-54-3
43,7440-02-0,니켈(가용성),"Nickel(Soluble compounds, as Ni)",Ni,-,0.1,-,-,[7440-02-0] 발암성 1A,7440-02-0
44,7440-02-0,니켈(불용성),"Nickel(Insoluble Inorganic compounds, as Ni)",Ni,-,0.2,-,-,[7440-02-0] 발암성 1A,7440-02-0
45,7440-02-0,니켈(금속),Nickel(Metal),Ni,-,1,-,-,[7440-02-0] 발암성 2,7440-02-0
46,13463-39-3,니켈 카르보닐,"Nickel carbonyl, as Ni",Ni(CO4),0.001,-,-,-,"[13463-39-3] 발암성 1A, 생식독성 1B",13463-39-3
47,54-11-5,니코틴,Nicotine,C10H14N2,-,0.5,-,-,[54-11-5] Skin,54-11-5
48,1929-82-4,니트라피린,Nitrapyrin,C6H3C14N,,10,,20,[1929-82-4] 2-클로로-6-(트리클로로메틸) 피리딘 참조,1929-82-4
49,55-63-0,니트로글리세린,Nitroglycerin(NG),CH2NO3CHNO3CH2NO3,0.05,-,-,-,[55-63-0] Skin,55-63-0
50,628-96-6,니트로글리콜,Nitroglycol,(CH2ONO2)2,0.05,,,,[628-96-6] 에틸렌글리콜 디니트레이트 참조,628-96-6
51,92-93-3,4-니트로디페닐,4-Nitrodiphenyl,C6H5C6H4NO2,-,-,-,-,"[92-93-3] 발암성 1B, Skin",92-93-3
52,75-52-5,니트로메탄,Nitromethane,CH3NO2,20,-,-,-,[75-52-5] 발암성 2,75-52-5
53,98-95-3,니트로벤젠,Nitrobenzene,C6H5NO2,1,-,-,-,"[98-95-3] 발암성 2, 생식독성 IB, Skin",98-95-3
54,79-24-3,니트로에탄,Nitroethane,C2H5NO2,100,-,-,-,[79-24-3] ,79-24-3
55,88-72-2,"니트로톨루(오쏘, 메타, 파라-이성체)","Nitrotoluene(o, m, p-isomers)",CH3C6H4NO2,2,-,-,-,"[88-72-2] 발암성 1B, 생식세포 변이원성 1B, 생식독성 2, Skin, [99-08-1] [99-99-0] Skin",88-72-2
56,76-06-2,니트로트리클로로메탄,Nitrotrichloromethane,CCl3NO2,0.1,,0.3,,[76-06-2] 클로로피크린 참조,76-06-2
57,108-03-2,1-니트로프로판,1-Nitropropane,CH3CH2CH2NO3,25,-,-,-,[108-03-2] ,108-03-2
58,79-46-9,2-니트로프로판,2-Nitropropane,CH3CHNO2CH3,10,-,-,-,[79-46-9] 발암성 1B,79-46-9
59,-,대리석,Marble,-,-,10,-,-,-,-
60,8065-48-3,데미톤,Demeton,(C2H5O)2PSOC2H4SC2H5,-,0.1,-,-,[8065-48-3] Skin,8065-48-3
61,17702-41-9,데카보란,Decaborane,B10H14,0.05,-,0.15,-,[17702-41-9] Skin,17702-41-9
62,94-75-7,"2,4-디","2,4-D(2,4-Dichloro phenoxyacetic acid)(Inhalable fraction)",Cl2C6H3OCH2COOH,-,10,-,-,"[94-75-7] 발암성 2, 흡입성",94-75-7
63,2238-07-5,디글리시딜에테르,Diglycidyl ether(DGE),C6H10O3,0.1,-,-,-,[2238-07-5] ,2238-07-5
64,100-25-4,디니트로벤젠(모든 이성체),Dinitrobenzene(all isomers),C6H4(NO2)2,0.15,-,-,-,[100-25-4] Skin ,100-25-4
64,25154-54-5,디니트로벤젠(모든 이성체),Dinitrobenzene(all isomers),C6H4(NO2)2,0.15,-,-,-,[25154-54-5] Skin ,25154-54-5
64,528-29-0,디니트로벤젠(모든 이성체),Dinitrobenzene(all isomers),C6H4(NO2)2,0.15,-,-,-,[528-29-0] Skin ,528-29-0
64,99-65-0,디니트로벤젠(모든 이성체),Dinitrobenzene(all isomers),C6H4(NO2)2,0.15,-,-,-,[99-65-0] Skin ,99-65-0
65,534-52-1,디니트로-오쏘-크레졸,Dinitro-o-cresol,CH3C6H2OH(NO2)2,-,0.2,-,-,"[534-52-1] 생식세포 변이원성 2, Skin",534-52-1
66,148-01-6,"3,5-디니트로-오쏘-톨루아미드","3,5-Dinitro-o-toluamide",C8H7N3O5,-,5,-,-,[148-01-6] ,148-01-6
67,25321-14-6,디니트로톨루엔,Dinitrotoluene,(NO2)2C6H3CH3,-,0.2,-,-,"[25321-14-6] 발암성 1B, 생식세포 변이원성 2, 생식독성 2, Skin",25321-14-6
68,109-87-5,디메톡시메탄,Dimethoxymethane,CH3OCH2OCH3,1000,-,-,-,[109-87-5] ,109-87-5
69,62-75-9,디메틸니트로소아민,Dimethylnitrosoamine,(CH3)2NNO,-,-,-,-,"[62-75-9] 발암성 1B, Skin",62-75-9
70,300-76-5,"디메틸-1,2-디브로모-2,2-디클로로에틸포스페이트","Dimethyl-1,2-dibromo-2,2-dichloroethy1 phosphate",C4H7Br2Cl2O4P,-,3,-,-,[300-76-5] Skin,300-76-5
71,-,디메틸벤젠(모든 이성체),Dimethylbenzene(all isomers),C6H4(CH3)2,,,,,크실렌(모든 이성체) 참조,-
72,121-69-7,디메틸아닐린,"Dimethylaniline(N,N-Dimethylaniline)",C6H4N(CH3)2,5,-,10,-,"[121-69-7] 발암성 2, Skin",121-69-7
73,1300-73-8,디메틸아미노벤젠(혼합이성체 포함),"Dimethylaminobenzene(mixed isomers, Inhalabable fraction and vapor)",(CH3)2C6H3NH2,0.5,-,-,-,"[1300-73-8] 발암성 2, Skin, 흡입성 및 증기",1300-73-8
74,124-40-3,디메틸아민,Dimethylamine,(CH3)2NH,5,-,15,-,[124-40-3] ,124-40-3
75,127-19-5,"N,N-디메틸아세트아미드","N,N-Dimethyl acetamide",C4H9NO,10,-,-,-,"[127-19-5] 생식독성 1B, Skin",127-19-5
76,79-44-7,디메틸 카르바모일클로라이드,Dimethyl carbamoylchloride,(CH3)2NCOCl,0.005,-,-,-,"[79-44-7] 발암성 1B, Skin",79-44-7
77,68-12-2,디메틸포름아미드,Dimethylformamide,HCON(CH3)2,10,-,-,-,"[68-12-2] 생식독성 1B, Skin",68-12-2
78,131-11-3,디메틸프탈레이트,Dimethylphthalate,C10H10O4,-,5,-,-,[131-11-3] ,131-11-3
79,108-83-8,"2,6-디메틸-4-헵타논","2,6-Dimethyl-4-heptanone",[(CH3)2CHCH2]2CO,25,,,,[108-83-8] 디이소부틸케톤 참조,108-83-8
80,57-14-7,"1,1-디메틸하이드라진","1,1-Dimethylhydrazine",(CH3)2NNH2,0.01,-,-,-,"[57-14-7] 발암성 1B, Skin",57-14-7
81,19287-45-7,디보란,Diborane,B2H6,0.1,-,-,-,[19287-45-7] ,19287-45-7
82,107-66-4,디부틸 포스페이트,Dibutyl phosphate(Inhalable fraction and vapor),(C4H9O)2(OH)PO,-,5,-,10,"[107-66-4] Skin, 흡입성 및 증기",107-66-4
83,84-74-2,디부틸 프탈레이트,Dibutyl phthalate,C6H4(CO2C4H9)2,-,5,-,-,[84-74-2] 생식독성 1B,84-74-2
84,106-93-4,"1,2-디브로모에탄","1,2-Dibromoethane",CH2BrCH2Br,-,-,-,-,"[106-93-4] 발암성 1B, Skin",106-93-4
85,1321-74-0,디비닐 벤젠,Divinyl benzene,C6H4(CH=CH2)2,10,-,-,-,[1321-74-0] ,1321-74-0
86,97-77-8,디설피람,Disulfiram,C10H20N2S4,-,2,-,-,[97-77-8] ,97-77-8
87,298-04-4,디설포톤,Disulfoton(Inhalable fraction and vapor),C8H19O2PS3,-,0.05,-,-,"[298-04-4] Skin, 흡입성 및 증기",298-04-4
88,102-54-5,디시클로펜타디에닐 철,Dicyclopentadienyl iron,C10H10Fe,-,10,-,-,[102-54-5] ,102-54-5
89,77-73-6,디시클로펜타디엔,Dicyclopentadiene,C10H12,5,-,-,-,[77-73-6] ,77-73-6
90,119-90-4,디아니시딘,Dianisidine,C14H16N2O2,-,0.01,-,-,[119-90-4] 발암성 1B,119-90-4
91,107-15-3,"1,2-디아미노에탄","1,2-Diaminoethane",H2NCH2CH2NH2,10,-,-,-,[107-15-3] Skin,107-15-3
92,123-42-2,디아세톤 알코올,Diaceton alcohol,C6H12O2,50,-,-,-,[123-42-2] ,123-42-2
93,334-88-3,디아조메탄,Diazomethane,CH2N2,0.2,-,-,-,[334-88-3] 발암성 1B,334-88-3
94,333-41-5,디아지논,Diazinon(Inhalable fraction and vapor),C12H21N2O3PS,-,0.01,-,-,"[333-41-5] 발암성 1B, Skin, 흡입성 및 증기",333-41-5
95,111-42-2,디에탄올아민,Diethanolamine,(HOCH2CH2)2NH,-,2,-,-,"[111-42-2] 발암성 2, Skin",111-42-2
96,112-34-5,디에틸렌 글리콜 모노부틸 에테르,Diethylene glycol monobutyl ether,CH2(CH2)3OCH2CH2OCH2CH2OH,10,-,-,-,[112-34-5] ,112-34-5
97,100-37-8,2-디에틸아미노에탄올,2-Diethylamino ethanol,(C2H5)2NC2H4OH,2,-,-,-,[100-37-8] Skin,100-37-8
98,109-89-7,디에틸아민,Diethylamine,(C2H5)2NH,5,-,15,-,[109-89-7] Skin,109-89-7
99,60-29-7,디에틸 에테르,Diethyl ether,C2H5OC2H5,400,-,500,-,[60-29-7] ,60-29-7
100,96-22-0,디에틸 케톤,Diethyl ketone,C2H5COC2H5,200,-,-,-,[96-22-0] ,96-22-0
101,111-40-0,디에틸렌 트리아민,Diethylene triamine,(NH2CH2CH2)2NH,1,-,-,-,[111-40-0] Skin,111-40-0
102,84-66-2,디에틸프탈레이트,Diethyl phthalate,C6H4(COOC2H5)2,-,5,-,-,[84-66-2] ,84-66-2
103,117-81-7,디(2-에틸헥실)프탈레이트,Di(2-ethylhexyl)phthalate,C6H4(COOC8H17)2,-,5,-,10,"[117-81-7] 발암성 2, 생식독성 1B",117-81-7
104,60-57-1,디엘드린,Dieldrin,C12H8Cl6O,-,0.25,-,-,"[60-57-1] 발암성 2, Skin,",60-57-1
105,78-34-2,디옥사티온,Dioxathion,C12H26O6P2S4,-,0.2,-,-,[78-34-2] Skin,78-34-2
106,123-91-1,"1,4-디옥산","1,4-Dioxane(Diethylene dioxide)",OCH2CH2OCH2CH2,20,-,-,-,"[123-91-1] 발암성 2, Skin",123-91-1
107,330-54-1,디우론,Diuron,C9H10Cl2N2O,-,10,-,-,[330-54-1] 발암성 2,330-54-1
108,108-83-8,디이소부틸케톤,Diisobutyl ketone,[(CH3)2CHCH2]2CO,25,-,-,-,[108-83-8] ,108-83-8
109,108-18-9,디이소프로필아민,Diisopropylamine,(CH3)2CHNHCH(CH3)2,5,-,-,-,[108-18-9] Skin,108-18-9
110,128-37-0,"2,6-디-삼차-부틸-파라-크레졸","2,6-Di-tert-butyl-p-cresol(Inhalable fraction and vapor)",C15H24O,-,2,-,-,[128-37-0] 흡입성 및 증기,128-37-0
111,117-81-7,디-이차-옥틸프탈레이트,Di-sec-octyl phthalate,C6H4(COOC8H17)2,,5,,10,[117-81-7] 디-(2-에틸헥실)프탈레이트 참조,117-81-7
112,2764-72-9,디쿼트,Diquat(Inhalable fraction),C12H12Br2N2,-,0.5,-,-,"[2764-72-9] Skin, 흡입성",2764-72-9
112,6385-62-2,디쿼트,Diquat(Inhalable fraction),C12H12Br2N2,-,0.5,-,-,"[6385-62-2] Skin, 흡입성",6385-62-2
112,85-00-7,디쿼트,Diquat(Inhalable fraction),C12H12Br2N2,-,0.5,-,-,"[85-00-7] Skin, 흡입성",85-00-7
113,141-66-2,디크로토포스,Dicrotophos,C8H16NO5P,-,0.25,-,-,[141-66-2] Skin,141-66-2
114,50-29-3,"디클로로디페닐, 트리클로로에탄",Dichlorodiphenyltrichloroethane(D.D.T),C14H9Cl5,-,1,-,-,[50-29-3] 발암성 2,50-29-3
115,594-72-9,"1,1-디클로로-1-니트로에탄","1,1-Dichloro-1-nitroethane",CH3CCl2NO2,2,-,-,-,[594-72-9] ,594-72-9
116,118-52-5,"1,3-디클로로-5,","1,3-Dichloro-5, 5-dimethyl hydantoin",C5H6Cl2N2O2,-,0.2,-,0.4,[118-52-5] ,118-52-5
117,75-71-8,디클로로디플루오로메탄,Dichlorodifluoromethane,CCl2F2,1000,-,-,-,[75-71-8] ,75-71-8
118,75-09-2,디클로로메탄,Dichloromethane,CH2Cl2,50,-,-,-,[75-09-2] 발암성 2,75-09-2
119,91-94-1,"3,3-디클로로벤지딘","3,3-Dichlorobenzidine",C12H10Cl2N2,-,-,-,-,"[91-94-1] 발암성 1B, Skin",91-94-1
120,79-43-6,디클로로아세트산,Dichloro acetic acid,C2H2Cl2O2,0.5,-,-,-,"[79-43-6] 발암성 2, Skin",79-43-6
121,7572-29-4,디클로로아세틸렌,Dichloroacetylene,ClCCCl,,,C0.1,-,[7572-29-4] 발암성 2,7572-29-4
122,75-34-3,"1,1-디클로로에탄","1,1-Dichloroethane",CH3CHCl2,100,-,-,-,[75-34-3] ,75-34-3
123,107-06-2,"1,2-디클로로에탄","1,2-Dichloroethane",ClCH2CH2Cl,,10,,,[107-06-2] 이염화 에틸렌 참조,107-06-2
124,75-35-4,"1,1-디클로로에틸렌","1,1-Dichloroethylene",CH2CCl2,5,-,20,-,[75-35-4] 발암성 2,75-35-4
125,540-59-0,"1,2-디클로로에틸렌","1,2-Dichloroethylene",CHClCHCl,200,-,-,-,[540-59-0] ,540-59-0
126,111-44-4,디클로로에틸에테르,Dichloroethylether,(ClCH2CH2)2O,5,-,10,-,"[111-44-4] 발암성 2, Skin",111-44-4
127,76-14-2,디클로로 테트라플루오로에탄,Dichlorotetrafluoroethane,F2ClCCClF2,1000,-,-,-,[76-14-2] ,76-14-2
128,306-83-2,"2,2-디클로로-1,1,1-트라이플루오로에탄","2,2-Dichloro-1,1,1-trifluoroethane",CHCl2CF3 ,10,-,-,-,[306-83-2] ,306-83-2
129,78-87-5,"1,2-디클로로프로판","1,2-Dichloropropane",CH3CHClCH2Cl,10,-,110,-,[78-87-5] 발암성 1A,78-87-5
130,542-75-6,디클로로프로펜,Dichloropropene,CHClCHCH2Cl,1,-,-,-,"[542-75-6] 발암성 2, Skin",542-75-6
131,75-99-0,"2,2-디클로로프로피온산","2,2-Dichloropropionic acid(Inhalable fraction)",CH3CCl2COOH,-,6,-,-,[75-99-0] 흡입성,75-99-0
132,75-43-4,디클로로플루오로메탄,Dichlorofluoromethane,CHCl2F,10,-,-,-,[75-43-4] ,75-43-4
133,1717-00-6,"1,1-디클로로-1-플루오로에탄","1,1-Dichloro-1-fluoro ethane",C2Cl2FH3,500,-,-,-,[1717-00-6] ,1717-00-6
134,62-73-7,디클로르보스,Dichlorvos(Inhalable fraction and vapor),(CH3O)2POOCHCCl2/C4H7Cl2O4P,-,0.1,-,-,"[62-73-7] 발암성 2, Skin, 흡입성 및 증기",62-73-7
135,92-52-4,디페닐,Diphenyl,C12H10,0.2,,,,[92-52-4] 비페닐 참조,92-52-4
136,101-68-8,디페닐메탄 디이소시아네이트,Diphenylmethanediisocyanate,NCOC6H4CH2C6H4NCO,0.005,,,,[101-68-8] 메틸렌비스페닐이소시아네이트 참조,101-68-8
137,122-39-4,디페닐아민,Diphenylamine,C6H5NHC6H5,-,10,-,-,[122-39-4] ,122-39-4
138,34590-94-8,디프로필렌 글리콜메틸 에테르,Dipropylene glycol methyl ether,CH3CH(OCH3)CH2OCH2CH(OH)CH3,100,-,150,-,[34590-94-8] Skin,34590-94-8
139,123-19-3,디프로필 케톤,Dipropyl ketone,(CH3CH2CH2)2CO,50,-,-,-,[123-19-3] ,123-19-3
140,75-61-6,디플루오로디브로모메탄,Difluorodibromomethane,CBr2F2,100,-,-,-,[75-61-6] ,75-61-6
141,123-31-9,디하이드록시벤젠,Dihydroxybenzene,C6H4(OH)2,-,2,-,-,"[123-31-9] 발암성 2, 생식세포 변이원성 2",123-31-9
142,8030-30-6,러버 솔벤트,Rubber solvent(Naphtha),-,400,-,-,-,"[8030-30-6] 발암성 1B, 생식세포 변이원성 1B(벤젠 0.1% 이상인 경우에 한정함)",8030-30-6
143,108-46-3,레조시놀,Resorcinol,C6H4(OH)2,10,-,20,-,[108-46-3] ,108-46-3
144,7440-16-6,로듐금속,"Rhodium, Metal",Rh,-,0.1,-,-,[7440-16-6] ,7440-16-6
145,7440-16-6,"로듐, 불용성화합물","Rhodium, Insoluble compounds, as Rh",Rh,-,1,-,-,[7440-16-6] ,7440-16-6
146,-,로진 열분해산물,"Rosin core solder pyrolysis products, as Formaldehyde",-,-,0.1,-,-,,-
147,83-79-4,로테논,Rotenone(Commercial),C23H22O6,-,5,-,-,[83-79-4] ,83-79-4
148,299-84-3,론넬,Ronnel,(CH3O)2PSOC6H2Cl3,-,10,-,-,[299-84-3] ,299-84-3
149,-,루지,Rouge,-,-,10,-,-,,-
150,7580-67-8,리튬하이드라이드,Lithium hydride,LiH,-,0.025,-,-,[7580-67-8] ,7580-67-8
151,58-89-9,린데인,Lindane,C6H6Cl6,-,0.5,-,-,"[58-89-9] 발암성 1A, 수유독성, Skin",58-89-9
152,121-75-5,말라티온,Malathion(Inhalable fraction and vapor),C10H19O6PS2,-,1,-,-,"[121-75-5] 발암성 1B, Skin, 흡입성 및 증기",121-75-5
153,7439-96-5,망간 및 무기 화합물,"Manganese&Inorganic compounds, as Mn",Mn,-,1,-,-,[7439-96-5] ,7439-96-5
154,12079-65-1,망간 시클로펜타디에닐 트리카보닐,"Manganese cyclopentadienyl tricarbonyl, as Mn ",C5H5Mn(CO)3,-,0.1,-,-,[12079-65-1] Skin,12079-65-1
155,7439-96-5,망간(흄),Manganese(Fume),Mn,-,1,-,3,[7439-96-5] ,7439-96-5
156,7786-34-7,메빈포스,Mevinphos,(CH3O)2PO2C(CH3)CHCOOCH3,0.01,-,0.03,-,[7786-34-7] Skin,7786-34-7
157,79-41-4,메타크릴 산,Methacrylic acid,CH2CCH3COOH,20,-,-,-,[79-41-4] ,79-41-4
158,1477-55-0,"메타-크실렌-알파, 알파-디아민","m-Xylene-α, α´-diamine",C6H4(CH2NH2)2,-,-,-,C0.1,[1477-55-0] Skin,1477-55-0
159,108-44-1,메타-톨루이딘,m-Toluidine,CH3C6H4NH2,2,-,-,-,[108-44-1] Skin,108-44-1
160,626-17-5,메타-프탈로디니트릴,m-Phthalodinitrile(Inhalable fraction and vapor),C8H4N2,-,5,-,-,[626-17-5] 흡입성 및 증기,626-17-5
162,74-93-1,메탄에티올,Methanethiol,CH3SH,0.5,-,-,-,[74-93-1] ,74-93-1
163,16752-77-5,메토밀,Methomyl,C5H10N2O2S,-,2.5,-,-,[16752-77-5] ,16752-77-5
164,109-86-4,2-메톡시에탄올,2-Methoxyethanol,CH3OCH2CH2OH,5,-,-,-,"[109-86-4] 생식독성 1B, Skin",109-86-4
165,110-49-6,2-메톡시에틸아세테이트,2-Methoxyethyl acetate,CH3COOCH2CH2OCH3,5,-,-,-,"[110-49-6] 생식독성 1B, skin",110-49-6
166,72-43-5,메톡시클로르,Methoxychlor,C16H15Cl3O2,-,10,-,-,[72-43-5] ,72-43-5
167,150-76-5,4-메톡시페놀,4-Methoxyphenol,CH3OC6H4OH,-,5,-,-,[150-76-5] ,150-76-5
168,21087-64-9,메트리뷰진,Metribuzin,C8H14N4OS,-,5,-,-,[21087-64-9] ,21087-64-9
169,591-78-6,메틸 노말-부틸케톤,Methyl n-butylketone,CH3COCH2CH2CH2CH3,5,-,-,-,"[591-78-6] 생식독성 2, skin",591-78-6
170,110-43-0,메틸 노말-아밀케톤,Methyl n-amylketone,CH3(CH2)4COCH3,50,-,-,-,[110-43-0] ,110-43-0
171,8022-00-2,메틸 데메톤,Methyl demeton,(CH3O)2PSO(CH2)2SC2H5,-,0.5,-,-,[8022-00-2] Skin,8022-00-2
172,101-77-9,"4,4'-메틸렌디아닐린","4,4'-Methylenedianiline",H2NC6H4CH2C6H4NH2,0.1,-,-,-,"[101-77-9] 발암성 1B, 생식세포 변이원성 2, Skin",101-77-9
173,5124-30-1,"1,1'-메틸렌비스(4-이소시아네이토사이클로헥산)","1,1'-Methylenebis(4-isocyanatocyclohexane)",CH2[(C6H10)NCO]2,0.005,-,-,-,[5124-30-1] ,5124-30-1
174,101-14-4,"4,4'-메틸렌비스(2-클로로아닐린)","4,4'-Methylenebis(2-chloroaniline)",CH2(C6H4ClNH2)2,0.01,-,-,-,"[101-14-4] 발암성 1A, Skin",101-14-4
175,101-68-8,메틸렌비스페닐이소시아네이트,Methylene bisphenyl isocyanate,NCOC6H4CH2C6H4NCO,0.005,-,-,-,[101-68-8] 발암성 2,101-68-8
176,80-62-6,메틸메타크릴레이트,Methyl methacrylate,CH2C(CH3)COOCH3,50,-,100,-,[80-62-6] ,80-62-6
177,74-93-1,메틸 멀캡탄,Methyl mercaptan,CH3SH,0.5,,,,[74-93-1] 메탄에티올 참조,74-93-1
178,1634-04-4,메틸삼차 부틸에테르,Methyl tert-butyl ether(MTBE),C5H12O,50,-,-,-,[1634-04-4] 발암성 2 ,1634-04-4
179,137-05-3,메틸 2-시아노아크릴레이트,Methyl 2-cyanoacrylate,CH2C(CN)COOCH3,2,-,4,-,[137-05-3] ,137-05-3
180,12108-13-3,2-메틸시클로펜타디에닐 망간트리카르보닐,"2-Methylcyclopentadienyl manganese tricarbonyl, as Mn",CH3C5H5Mn(CO)3,-,0.2,-,-,[12108-13-3] Skin,12108-13-3
181,25639-42-3,메틸시클로헥사놀,Methylcyclohexanol,C7H14O,50,-,-,-,[25639-42-3] ,25639-42-3
182,108-87-2,메틸시클로헥산,Methylcyclohexane,CH3C6H11,400,-,-,-,[108-87-2] ,108-87-2
183,681-84-5,메틸실리케이트,Methyl silicate,(CH3O)4Si,1,-,-,-,[681-84-5] ,681-84-5
184,74-89-5,메틸 아민,Methyl amine,CH3NH2,5,-,15,-,[74-89-5] ,74-89-5
185,108-11-2,메틸 아밀알코올,Methyl amylalcohol,(CH3)2CHCH2CHOHCH3,25,-,40,-,[108-11-2] Skin,108-11-2
