"candidate_group_id","cas_no","group_row_count","source_sheet","source_row_number","legacy_sort_code","canonical_name_candidate","base_name_candidate","analysis_method","sampling_media","twa","stel","permit_required","special_management","health_exam_target","group_has_semantic_conflict","proposed_relation_type","parent_profile_id_candidate","auto_merge_allowed","review_status","review_note"
"CAS_1314_13_2","1314-13-2","2","Sheet1","97","3M-21-040","산화아연(분진)","산화아연","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7782_49_2","7782-49-2","2","Sheet1","53","3M-20-110","셀레늄","셀레늄","ICP법(다)","MCE여과지(37mm, 0.8um)","0.2 ㎎/㎥","","","","","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7782_49_2","7782-49-2","2","Sheet1","54","3M-20-111","셀레늄 및 그 화합물","셀레늄 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.2 ㎎/㎥","","","","","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_36_0","7440-36-0","2","Sheet1","55","3M-20-120","안티몬","안티몬","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_36_0","7440-36-0","2","Sheet1","56","3M-20-121","안티몬 및 그 화합물","안티몬 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","58","3M-20-140","알루미늄","알루미늄","ICP법(다)","MCE여과지(37mm, 0.8um)","10 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","59","3M-20-141","알루미늄 및 그 화합물","알루미늄 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","10 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","60","3M-20-142","알루미늄(금속분진)","알루미늄","ICP법(다)","MCE여과지(37mm, 0.8um)","10 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","61","3M-20-143","알루미늄(피로파우더)","알루미늄","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","62","3M-20-144","알루미늄(흄)","알루미늄","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","63","3M-20-145","알루미늄(가용성 염)","알루미늄","ICP법(다)","MCE여과지(37mm, 0.8um)","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7429_90_5","7429-90-5","7","Sheet1","64","3M-20-146","알루미늄(알킬)","알루미늄","ICP법(다)","MCE여과지(37mm, 0.8um)","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_22_4","7440-22-4","4","Sheet1","65","3M-20-150","은","은","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_22_4","7440-22-4","4","Sheet1","66","3M-20-151","은 및 그 가용성 화합물","은 및 그 가용성 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_22_4","7440-22-4","4","Sheet1","67","3M-20-152","은(금속)","은","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_22_4","7440-22-4","4","Sheet1","68","3M-20-153","은(가용성)","은","ICP법(다)","MCE여과지(37mm, 0.8um)","0.01 ㎎/㎥","","","","","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_31_5","7440-31-5","5","Sheet1","70","3M-20-170","주석","주석","ICP법(다)","MCE여과지(37mm, 0.8um)","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_31_5","7440-31-5","5","Sheet1","71","3M-20-171","주석 및 그 화합물","주석 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_31_5","7440-31-5","5","Sheet1","72","3M-20-172","주석(금속)","주석","ICP법(다)","MCE여과지(37mm, 0.8um)","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_31_5","7440-31-5","5","Sheet1","73","3M-20-173","주석(산화 및 무기화합물)","주석","ICP법(다)","MCE여과지(37mm, 0.8um)","2 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_31_5","7440-31-5","5","Sheet1","74","3M-20-174","주석(유기화합물)","주석","ICP법(다)","MCE여과지(37mm, 0.8um)","0.1 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_67_7","7440-67-7","2","Sheet1","75","3M-20-180","지르코늄","지르코늄","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","10 ㎎/㎥","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_67_7","7440-67-7","2","Sheet1","76","3M-20-181","지르코늄 및 그 화합물","지르코늄 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","5 ㎎/㎥","10 ㎎/㎥","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_43_9","7440-43-9","3","Sheet1","77","3M-20-190","카드뮴","카드뮴","ICP법(다)","MCE여과지(37mm, 0.8um)","0.01 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_43_9","7440-43-9","3","Sheet1","78","3M-20-191","카드뮴 및 그 화합물","카드뮴 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.002 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_43_9","7440-43-9","3","Sheet1","92","3M-21-020","카드뮴(호흡성)","카드뮴","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","0.002 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_48_4","7440-48-4","2","Sheet1","79","3M-20-200","코발트","코발트","ICP법(다)","MCE여과지(37mm, 0.8um)","0.02 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_48_4","7440-48-4","2","Sheet1","80","3M-20-201","코발트 및 그 무기화합물","코발트 및 그 무기화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.02 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_47_3","7440-47-3","4","Sheet1","81","3M-20-210","크롬","크롬","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_47_3","7440-47-3","4","Sheet1","82","3M-20-211","크롬과 그 무기화합물(3가크롬)","크롬과 그 무기화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_47_3","7440-47-3","4","Sheet1","83","3M-20-212","3가크롬","3가크롬","ICP법(다)","MCE여과지(37mm, 0.8um)","0.5 ㎎/㎥","","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_47_3","7440-47-3","4","Sheet1","104","3M-22-030","크롬광 가공(열을 가하여 소성처리하는 경우만 해당)","크롬광 가공","ICP법(단)","MCE여과지(37mm, 0.8um)","0.05 ㎎/㎥","","○","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_41_7","7440-41-7","2","Sheet1","85","3M-20-230","베릴륨","베릴륨","ICP법(다)","MCE여과지(37mm, 0.8um)","0.002 ㎎/㎥","0.01 ㎎/㎥","○","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_41_7","7440-41-7","2","Sheet1","86","3M-20-231","베릴륨 및 그 화합물","베릴륨 및 그 화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.002 ㎎/㎥","0.01 ㎎/㎥","○","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_38_2","7440-38-2","3","Sheet1","87","3M-20-240","비소","비소","ICP법(다)","MCE여과지(37mm, 0.8um)","0.01 ㎎/㎥","","○","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_38_2","7440-38-2","3","Sheet1","88","3M-20-241","비소 및 그 무기화합물","비소 및 그 무기화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.01 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_38_2","7440-38-2","3","Sheet1","89","3M-20-242","비소 및 가용성화합물","비소 및 가용성화합물","ICP법(다)","MCE여과지(37mm, 0.8um)","0.01 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_74_6","7440-74-6","2","Sheet1","90","3M-21-010","인듐","인듐","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","0.01 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_74_6","7440-74-6","2","Sheet1","91","3M-21-011","인듐 및 그 화합물","인듐 및 그 화합물","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","0.01 ㎎/㎥","","","","○","N","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_33_7","7440-33-7","4","Sheet1","93","3M-21-030","텅스텐","텅스텐","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","5 ㎎/㎥","10 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_33_7","7440-33-7","4","Sheet1","94","3M-21-031","텅스텐 및 그 화합물","텅스텐 및 그 화합물","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","5 ㎎/㎥","10 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_33_7","7440-33-7","4","Sheet1","95","3M-21-032","텅스텐(불용성)","텅스텐","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","5 ㎎/㎥","10 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7440_33_7","7440-33-7","4","Sheet1","96","3M-21-033","텅스텐(가용성)","텅스텐","ICP법(다)호","MCE여과지(37mm, 0.8um) / Cyclone","1 ㎎/㎥","3 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_97_6","7439-97-6","5","Sheet1","98","3M-22-010","수은","수은","ICP법(단)","226-17-1A(SKC)","0.025 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_97_6","7439-97-6","5","Sheet1","99","3M-22-011","수은 및 그 화합물","수은 및 그 화합물","ICP법(단)","226-17-1A(SKC)","0.025 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_97_6","7439-97-6","5","Sheet1","100","3M-22-012","수은 및 무기형태","수은 및 무기형태","ICP법(단)","226-17-1A(SKC)","0.025 ㎎/㎥","","","○","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
"CAS_7439_97_6","7439-97-6","5","Sheet1","101","3M-22-013","수은(알킬화합물)","수은","ICP법(단)","226-17-1A(SKC)","0.01 ㎎/㎥","0.03 ㎎/㎥","","","○","Y","SAME_CAS_VARIANT","","N","REVIEW_REQUIRED","동일 CAS는 후보 그룹일 뿐 동일 측정인자 또는 부모·자식으로 자동 확정하지 않음"
